SUBFAMILY;TRIBE;GENUS HANDBOOK;SPECIES HANDBOOK;SP_reducido;HandbookSp;Sp;diet_Iris;diet_CVA
Sciurinae;Sciurini;Sciurus;vulgaris;Sci_vul;Sciurus vulgaris;S.vulgaris;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Sciurus;yucatanensis;Sci_yuc;Sciurus yucatanensis;S.yucatanensis;Seeds_nuts;chew_crush
Xerinae;Xerini;Spermophilopsis;leptodactyla;Spe_lep;Spermophilopsis leptodactyla;S.leptodactyla;Seeds_nuts;chew_crush
Xerinae;Marmotini;Spermophilus;alashanicus;Spe_ala;Spermophilus alashanicus;S.alashanicus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Spermophilus;brevicauda;Spe_bre;Spermophilus brevicauda;S.brevicauda;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Spermophilus;citellus;Spe_cit;Spermophilus citellus;S.citellus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Spermophilus;dauricus;Spe_dau;Spermophilus dauricus;S.dauricus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Spermophilus;erythrogenys;Spe_ery;Spermophilus erythrogenys;S.erythrogenys;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Spermophilus;fulvus;Spe_ful;Spermophilus fulvus;S.fulvus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Spermophilus;major;Spe_maj;Spermophilus major;S.major;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Spermophilus;musicus;Spe_mus;Spermophilus musicus;S.musicus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Spermophilus;nilkaensis;Spe_nil;Spermophilus nilkaensis;S.nilkaensis;grazer;Grind
Xerinae;Marmotini;Spermophilus;pallidicauda;Spe_pal;Spermophilus pallidicauda;S.pallidicauda;NO_INF;NO_INF
Xerinae;Marmotini;Spermophilus;pygmaeus;Spe_pyg;Spermophilus pygmaeus;S.pygmaeus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Spermophilus;relictus;Spe_rel;Spermophilus relictus;S.relictus;grazer;Grind
Xerinae;Marmotini;Spermophilus;suslicus;Spe_sus;Spermophilus suslicus;S.suslicus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Spermophilus;taurensis;Spe_tau;Spermophilus taurensis;S.taurensis;NO_INF;NO_INF
Xerinae;Marmotini;Spermophilus;xanthoprymnus;Spe_xan;Spermophilus xanthoprymnus;S.xanthoprymnus;mixed_feeder;mixed_feeder
Callosciurinae;Callosciurini;Sundasciurus;altitudinis;Sun_alt;Sundasciurus altitudinis;S.altitudinis;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Sundasciurus;brookei;Sun_bro;Sundasciurus brookei;S.brookei;NO_INF;NO_INF
Callosciurinae;Callosciurini;Sundasciurus;davensis;Sun_dav;Sundasciurus davensis;S.davensis;NO_INF;NO_INF
Callosciurinae;Callosciurini;Sundasciurus;everetti;Sun_eve;Sundasciurus everetti;S.everetti;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Sundasciurus;fraterculus;Sun_fra;Sundasciurus fraterculus;S.fraterculus;NO_INF;NO_INF
Callosciurinae;Callosciurini;Sundasciurus;hippurus;Sun_hip;Sundasciurus hippurus;S.hippurus;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Sundasciurus;hoogstraali;Sun_hoo;Sundasciurus hoogstraali;S.hoogstraali;NO_INF;NO_INF
Callosciurinae;Callosciurini;Sundasciurus;jentinki;Sun_jen;Sundasciurus jentinki;S.jentinki;Insectivore;Insectivore
Callosciurinae;Callosciurini;Sundasciurus;juvencus;Sun_juv;Sundasciurus juvencus;S.juvencus;NO_INF;NO_INF
Callosciurinae;Callosciurini;Sundasciurus;lowii;Sun_low;Sundasciurus lowii;S.lowii;Browser;chew_crush
Callosciurinae;Callosciurini;Sundasciurus;mindanensis;Sun_min;Sundasciurus mindanensis;S.mindanensis;NO_INF;NO_INF
Callosciurinae;Callosciurini;Sundasciurus;moellendorffi;Sun_moe;Sundasciurus moellendorffi;S.moellendorffi;NO_INF;NO_INF
Callosciurinae;Callosciurini;Sundasciurus;philippinensis;Sun_phi;Sundasciurus philippinensis;S.philippinensis;NO_INF;NO_INF
Callosciurinae;Callosciurini;Sundasciurus;rabori;Sun_rab;Sundasciurus rabori;S.rabori;NO_INF;NO_INF
Callosciurinae;Callosciurini;Sundasciurus;samarensis;Sun_sam;Sundasciurus samarensis;S.samarensis;NO_INF;NO_INF
Callosciurinae;Callosciurini;Sundasciurus;steerii;Sun_ste;Sundasciurus steerii;S.steerii;NO_INF;NO_INF
Callosciurinae;Callosciurini;Sundasciurus;tahan;Sun_tah;Sundasciurus tahan;S.tahan;NO_INF;NO_INF
Callosciurinae;Callosciurini;Sundasciurus;tenuis;Sun_ten;Sundasciurus tenuis;S.tenuis;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Syntheosciurus;brochus;Syn_bro;Syntheosciurus brochus;S.brochus;Browser;chew_crush
Xerinae;Marmotini;Tamias;alpinus;Tam_alp;Tamias alpinus;T.alpinus;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;amoenus;Tam_amo;Tamias amoenus;T.amoenus;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;bulleri;Tam_bul;Tamias bulleri;T.bulleri;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;canipes;Tam_can;Tamias canipes;T.canipes;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;cinereicollis;Tam_cin;Tamias cinereicollis;T.cinereicollis;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;dorsalis;Tam_dor;Tamias dorsalis;T.dorsalis;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Tamias;durangae;Tam_dur;Tamias durangae;T.durangae;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;merriami;Tam_mer;Tamias merriami;T.merriami;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;minimus;Tam_min;Tamias minimus;T.minimus;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;obscurus;Tam_obs;Tamias obscurus;T.obscurus;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;ochrogenys;Tam_och;Tamias ochrogenys;T.ochrogenys;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;palmeri;Tam_pal;Tamias palmeri;T.palmeri;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;panamintinus;Tam_pan;Tamias panamintinus;T.panamintinus;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;quadrimaculatus;Tam_qum;Tamias quadrimaculatus;T.quadrimaculatus;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;quadrivittatus;Tam_quv;Tamias quadrivittatus;T.quadrivittatus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Tamias;ruficaudus;Tam_rfi;Tamias ruficaudus;T.ruficaudus;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;rufus;Tam_rfu;Tamias rufus;T.rufus;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;senex;Tam_sen;Tamias senex;T.senex;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;sibiricus;Tam_sib;Tamias sibiricus;T.sibiricus;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;siskiyou;Tam_sis;Tamias siskiyou;T.siskiyou;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;sonomae;Tam_son;Tamias sonomae;T.sonomae;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;speciosus;Tam_spe;Tamias speciosus;T.speciosus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Tamias;striatus;Tam_str;Tamias striatus;T.striatus;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;townsendii;Tam_tow;Tamias townsendii;T.townsendii;Seeds_nuts;chew_crush
Xerinae;Marmotini;Tamias;umbrinus;Tam_umb;Tamias umbrinus;T.umbrinus;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Tamiasciurus;douglasii;Tam_dou;Tamiasciurus douglasii;T.douglasii;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Tamiasciurus;fremonti;Tam_fre;Tamiasciurus fremonti;T.fremonti;Seeds_nuts;chew_crush
Sciurinae;Sciurini;Tamiasciurus;hudsonicus;Tam_hud;Tamiasciurus hudsonicus;T.hudsonicus;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Tamiops;maritimus;Tam_mar;Tamiops maritimus;T.maritimus;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Tamiops;macclellandii;Tam_mac;Tamiops macclellandii;T.macclellandii;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Tamiops;rodolphii;Tam_rod;Tamiops rodolphii;T.rodolphii;NO_INF;NO_INF
Callosciurinae;Callosciurini;Tamiops;swinhoei;Tam_swi;Tamiops swinhoei;T.swinhoei;Seeds_nuts;chew_crush
Sciurinae;Pteromyini;Trogopterus;xanthipes;Tro_xan;Trogopterus xanthipes;T.xanthipes;Folivore;chew_crush
Xerinae;Marmotini;Urocitellus;armatus;Uro_arm;Urocitellus armatus;U.armatus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Urocitellus;beldingi;Uro_bel;Urocitellus beldingi;U.beldingi;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Urocitellus;brunneus;Uro_bru;Urocitellus brunneus;U.brunneus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Urocitellus;canus;Uro_can;Urocitellus canus;U.canus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Urocitellus;columbianus;Uro_col;Urocitellus columbianus;U.columbianus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Urocitellus;elegans;Uro_ele;Urocitellus elegans;U.elegans;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Urocitellus;mollis;Uro_mol;Urocitellus mollis;U.mollis;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Urocitellus;parryii;Uro_par;Urocitellus parryii;U.parryii;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Urocitellus;richardsonii;Uro_ric;Urocitellus richardsonii;U.richardsonii;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Urocitellus;townsendii;Uro_tow;Urocitellus townsendii;U.townsendii;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Urocitellus;undulatus;Uro_und;Urocitellus undulatus;U.undulatus;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Urocitellus;washingtoni;Uro_was;Urocitellus washingtoni;U.washingtoni;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Xerospermophilus;mohavensis;Xer_moh;Xerospermophilus mohavensis;X.mohavensis;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Xerospermophilus;perotensis;Xer_per;Xerospermophilus perotensis;X.perotensis;Seeds_nuts;chew_crush
Xerinae;Marmotini;Xerospermophilus;spilosoma;Xer_spi;Xerospermophilus spilosoma;X.spilosoma;mixed_feeder;mixed_feeder
Xerinae;Marmotini;Xerospermophilus;tereticaudus;Xer_ter;Xerospermophilus tereticaudus;X.tereticaudus;mixed_feeder;mixed_feeder
Xerinae;Xerini;Xerus;rutilus;Xer_rut;Xerus rutilus;X.rutilus;Seeds_nuts;chew_crush
