specimen;sp_short;sp_full;Min_age;Max_age
Pet_sp._UOMN_24269;Pet_sp.;Petauristodon sp.;13.6;15.97
Pli_bre_FSLX_65_441;Pli_bre;Pliopetaurista bressana;8.7;9.7
Pli_pli_DSTX_W617;Pli_pli;Pliopetaurista pliocaenica;3.2;4.2
Pli_sp._XXV_19550;Pli_sp.;Pliopetaurista;9.7;11.1
Pol_fra_UMMP_36796;Pol_fra;Poliocitellus franklinii;0;0.78
Pro_mal_UOMN_24235;Pro_mal;Protospermophilus malheurensis;13.6;15.97
Pro_men_UMMP_39559;Pro_men;Protosciurus mengi;33.3;33.9
Pro_ori_XXV_19546;Pro_ori;Prospermophilus orientalis;8.7;9.7
Pro_qua_LACM_30;Pro_qua;Protospermophilus quatalensis;10.3;13.6
Pro_vor_AMNH_6960;Pro_vor;Protospermophilus vortmani;20.43;30.8
Sci_ols_UMMP_74776;Sci_ols;Sciurus olstoni;10.3;13.6
Sim_max_XXXX_40620_39;Sim_max;Similisciurus maxwelli;20.43;24.8
Sin_gra_XXV_19541;Sin_gra;Sinotamias gravis;7.75;9.7
Spe_cit_HNHM_un_298;Spe_cit;Spermophilus citelloides;0.08;0.082
Spe_cit_HNHM_V65.379_253;Spe_cit;Spermophilus citelloides;0.012;0.062
Spe_cit_MGSH_V13631_175;Spe_cit;Spermophilus citelloides;0.0153;0.01755
Spe_cit_ZIN_105162_31;Spe_cit;Spermophilus citelloides;0;0.012
Spe_cit_ZIN_50993;Spe_cit;Spermophilus citelloides;0.018;0.021
Spe_cya_UNSM_52202;Spe_cya;Spermophilus cyanocittus;10.3;13.6
Spe_fis_AMNH_22646;Spe_fis;Spermophilus fisheri;0.012;0.3
Spe_fri_AMNH_24627;Spe_fri;Spermophilus fricki;0.3;1.8
Spe_how_KUMV_4598;Spe_how;Spermophilus howelli;1.8;4.9
Spe_how_UCMP_139231;Spe_how;Spermophilus howelli;1.8;4.9
Spe_jer_CMVe_27836;Spe_jer;Spermophilus jerae;13.6;15.97
Spe_mat_LACM_3551;Spe_mat;Spermophilus matachicensis;4.9;10.3
Spe_mon_XXV_19515;Spe_mon;Spermophilinus mongolicus;9.7;11.1
Spe_mtt_AMNH_17578;Spe_mtt;Spermophilus matthewi;4.9;10.3
Spe_pri_CMVe_727;Spe_pri;Spermophilus primitivus;13.6;15.97
Spe_pri_CMVe_746;Spe_pri;Spermophilus primitivus;13.6;15.97
Spe_rex_KUMV_4608;Spe_rex;Spermophilus rexroadensis;1.8;4.9
Spe_rus_UWXX_33038;Spe_rus;Spermophilus russelli;1.8;4.9
Spe_sho_UOMN_3596;Spe_sho;Spermophilus shotwelli;4.9;10.3
Spe_sho_UOMN_7964;Spe_sho;Spermophilus shotwelli;4.9;10.3
Spe_sp1_IMNH_848_15826;Spe_sp1;Spermophilus sp1;4.9;10.3
Spe_sp2_UOMN_27015;Spe_sp2;Spermophilus sp2;4.9;10.3
Spe_tep_UOMN_26055;Spe_tep;Spermophilus tephrus;13.6;15.97
Spe_wel_UCMP_141314;Spe_wel;Spermophilus wellingtonensis;1.8;4.9
Spe_wil_LACM_5244;Spe_wil;Spermophilus wilsoni;4.9;10.3
Spe_wil_UOMN_4097;Spe_wil;Spermophilus wilsoni;4.9;10.3
Tam_ert_XXV_19507;Tam_ert;Tamias ertemtensis;8.7;9.7
Tam_evi_XXXX_XXXX;Tam_evi;Tamias eviensis;17.5;18
Tam_min_XXV_19520;Tam_min;Tamiops minor;9.7;11.1
Tam_sp1_CMVe_27856;Tam_sp1;Tamias sp1;13.6;15.97
Tam_sp2_SDSM_58100;Tam_sp2;Tamias sp2;20.43;30.8
Uro_cra_UMMP_50136;Uro_cra;Urocitellus? cragini;1.95;2.14
